start_lat,start_lng
31.04194,-83.76514
31.00642,-83.55742
39.09063,-75.7282
38.90337,-75.81493
38.909786,-75.8175
43.98619,-70.04034
43.987564,-70.042625
39.832634,-77.22356
39.8308,-77.23113
39.8308,-77.23113
39.226437,-75.86978
39.23946,-75.87167
29.962732,-90.16686
34.09323,-82.84681
34.08907,-82.8477
39.88557,-75.52802
30.99856,-83.58773
27.216433,-82.4904
39.73931,-77.43342
38.91834,-75.91445
38.92364,-75.959
27.06931,-82.42154
39.02699,-76.02678
34.1116,-82.86716
36.23044,-83.26007
26.710657,-81.50875
39.488213,-105.358215
43.039906,-114.17655
43.02218,-114.21331
43.03991,-114.176544
40.725418,-111.853874
40.72613,-111.8539
40.3377,-107.653145
40.34784,-107.62814
34.57717,-112.36458
39.730766,-107.94377
39.64326,-107.870575
34.248806,-105.594894
40.987213,-105.40574
40.99778,-105.41272
40.99778,-105.41272
39.37717,-106.19365
40.49246,-111.41423
40.49282,-111.41318
40.75673,-111.91228
46.17742,-114.182
46.13919,-114.178635
40.66841,-112.28378
40.63024,-112.29107
41.24465,-112.0096
40.653004,-112.02465
40.07946,-105.92877
40.063305,-105.92606
40.37662,-111.29506
40.37662,-111.29506
40.45568,-111.47114
40.405277,-111.531525
40.87746,-105.27342
40.919712,-105.32576
39.9188,-105.50298
39.922665,-105.50441
46.54801,-110.46841
46.55417,-110.48459
40.6744,-73.491005
40.67504,-73.48537
40.061146,-76.276344
40.6744,-73.491005
41.83226,-72.65446
41.82969,-72.65581
42.007828,-74.26734
42.00484,-74.26585
42.5759,-73.96525
42.66969,-73.91301
42.682446,-73.90325
42.630844,-73.805885
40.93461,-73.83654
40.6973,-73.5175
39.83554,-75.42446
39.02241,-75.78732
39.024536,-75.78724
39.96781,-75.57953
38.96431,-75.7667
38.961864,-75.76379
39.84665,-75.42863
39.06904,-85.25279
41.34154,-83.22419
41.34211,-83.171585
41.49349,-85.98259
41.493683,-85.964165
40.84541,-81.60215
